Symbol słupka;Nazwa przyst.;Ulica;Współrzędne geograficzne
667(01);Nowe Włóki kolonia 2;Nowe Włóki;20.547652,53.899722
668(01);Tuławki boisko ;Tuławki;20.571630,53.896893
669(01);Tuławki szkoła;Tuławki;20.571933,53.901785
670(01);Gradki kolonia I;Gradki;20.560560,53.916082
671(01);Gradki wieś;Gradki;20.559925,53.924836
672(01);Gradki kolonia II ;Gradki;20.547510,53.933647
673(01);Jesionowo wieś;Jesionowo;20.525778,53.943888
674(01);Podleśna wieś;Podleśna;20.500421,53.950061
675(02);Studzianka wieś;Studzianka;20.604366,53.954447
676(02);Frączki wieś ;Frączki;20.598443,53.933360
677(02);Frączki kolonia I;Frączki;20.580448,53.927431
678(02);Tuławki wieś ;Tuławki;20.573046,53.896754
679(02);Gady kolonia II;Gady;20.578099,53.885682
680(02);Gady wieś ;Gady;20.578853,53.877204
681(02);Gady kolonia IV;Gady;20.571888,53.874728
682(02);Gady kolonia 1;Gady;20.563944,53.870213
683(01);Gady kolonia 1;Gady;20.563944,53.870213
684(01);Gady kolonia IV;Gady;20.571746,53.874577
685(01);Gady wieś ;Gady;20.578639,53.877136
686(01);Gady kolonia II;Gady;20.578300,53.885557
687(01);Tuławki wieś;Tuławki;20.573170,53.896797
688(01);Frączki kolonia I;Frączki;20.580497,53.927420
689(01);Frączki wieś ;Frączki;20.598634,53.933178
690(01);Studzianka wieś;Studzianka;20.604366,53.954447
691(01);Dywity Barczewskiego Osiedle;Dywity;20.461592,53.835809
692(02);Dywity Barczewskiego Osiedle;Dywity;20.461295,53.835735
693(01);Kieźliny-Domagały Kapliczka;Słupy;20.527343,53.832414
694(02);Kieźliny-Domagały Kapliczka;Słupy;20.527103,53.832407
700(99);Baza; ;20.51024633182683,53.78043603082734
701(98);Baza;Kołobrzeska;20.51067296568689,53.77946142271785
702(97);Baza;Towarowa;20.50805832537273,53.78074441838944
703(96);Baza;Towarowa;20.50993888888889,53.78143888888889
704(71);Tęczowy Las;Płoskiego;20.49372629329251,53.73242917249669
705(71);Witosa;Witosa;20.49550443786941,53.73640038094002
706(71);Pieczewo;Wilczyńskiego;20.51772802230576,53.73993609213173
707(71);Jaroty-Jarocka;Jarocka;20.48879541870639,53.7408452316327
708(71);Stary Dwór;Słoneczna;20.45522161375676,53.74481561745001
709(71);Nagórki;Barcza;20.49984953052627,53.75330646595748
710(71);Dajtki;Zbożowa;20.41685616515833,53.76832291405086
711(71);Likusy;Wczasowa;20.43140642298722,53.79611633337405
712(71);Redykajny;Hozjusza;20.43946446983544,53.80984318054253
713(95);parking Sikorskiego;Sikorskiego;20.48711536080387,53.75061186079137
720(01);Kętrzyńskiego (wirtual.);Kętrzyńskiego;20.49394754504119,53.78299042102341
721(01);Schumana;Schumana;20.45860391837542,53.77609113080981
722(02);Schumana;Schumana;20.45877323237966,53.77594541321152
724(01);Jarocka (wirtual.);Jarocka;20.48954986983418,53.7413957716389
730(51);Cmentarz Dywity-Brama Wschodnia;Wadąska;20.4923622654908,53.82302746252147
731(52);Cmentarz Dywity-Brama Wschodnia;Wadąska;20.49124672530112,53.82237568864128
732(53);Cmentarz Dywity-Brama Wschodnia;Wadąska;20.49256089940669,53.82231984875168
733(52);Cmentarz Dywity-Brama Zachodnia;Wojska Polskiego;20.47627449519684,53.82349788685679
734(51);Kieźliny-Kościół;Kieźliny;20.510997821604,53.82065135392261
735(52);Kieźliny-Kościół;Kieźliny;20.51088662727549,53.82062112434992
736(51);Jagiellońska-Szpital;Jagiellońska;20.50686547475009,53.80306308591582
737(52);Jagiellońska-Szpital;Jagiellońska;20.50622626019642,53.80260694918713
738(51);Cmentarz Poprzeczna;Zientary-Malewskiej;20.50075978947976,53.78921366502868
739(52);Cmentarz Poprzeczna;Cicha;20.50454766792834,53.7917818003592
740(52);Gietrzwałd;Gietrzwałd;20.23746480126344,53.74609615109044
741(51);Gietrzwałd-stacja paliw;Gietrzwałd;20.25353704534686,53.74803555831556
742(71);Schumana-punkt techniczny;Schumana;20.4565,53.77530555555555
743(51);Jagiellońska-Ogrody;Jagiellońska;20.5178707440052,53.81005461780715
744(52);Jagiellońska-Ogrody;Jagiellońska;20.51577842156761,53.80919176079628
745(53);Cmentarz Poprzeczna;Poprzeczna;20.50635330922988,53.79169310507438
746(51);Teatr im. S. Jaracza;Partyzantów;20.48137778,53.78141667
747(52);Teatr im. S. Jaracza;Partyzantów;20.48209167,53.781625
748(52);Plac Bema;Kopernika;20.49212778,53.78316667
749(51);Reymonta;Reymonta;20.49648488,53.78906799
750(51);Toruńska;Jagiellońska;20.4974975,53.79481002
751(52);Toruńska;Jagiellońska;20.49743684,53.79495578
800(01);Wadąg;Wadąg;20.52160573944073,53.81741365462283
801(02);Wadąg;Wadąg;20.52242122084466,53.81716342751643
802(01);Kieźliny-Kościół;Kieźliny;20.51111318423754,53.82097832199988
803(02);Kieźliny-Kościół;Kieźliny;20.5110969580117,53.82093745440987
804(01);Kieźliny-Przedszkole;Kieźliny;20.50746695996537,53.82151693507085
805(02);Kieźliny-Przedszkole;Kieźliny;20.50736900824415,53.82146451737459
806(03);Cmentarz Dywity-Brama Zachodnia;Wojska Polskiego;20.47619444,53.82442222
807(02);Bukwałd szkoła;Bukwałd;20.356367,53.877864
808(01);Dywity-Grzybowa;Dywity;20.47502778,53.82830833
809(02);Dywity-Grzybowa;Dywity;20.47495012927985,53.82797032000892
810(01);Dywity-Gminny Ośrodek Kultury;Dywity;20.47344367894619,53.83331365458487
811(02);Dywity-Gminny Ośrodek Kultury;Dywity;20.47326139914168,53.83338222977611
812(01);Dywity;Dywity;20.47638448663954,53.83626062071988
813(02);Dywity;Dywity;20.47604789107749,53.83633242938844
814(03);Dywity;Dywity;20.47718548839826,53.83619011229965
815(02);Bukwałd Wieś;Bukwałd;20.358248,53.877025
816(01);Dywity-Cefarm;Dywity;20.48451282745259,53.8425960281695
817(02);Dywity-Cefarm;Dywity;20.48490781506512,53.84316921817783
818(01);Różnowo-Kolonia;Różnowo;20.48921576967752,53.8456298219258
819(02);Różnowo-Kolonia;Różnowo;20.48981106026642,53.84593075318666
820(01);Różnowo Stare;Różnowo;20.50182622335159,53.8576035797771
821(02);Różnowo Stare;Różnowo;20.50090569448406,53.85773550854772
822(01);Różnowo-Osiedle;Różnowo;20.51835363553346,53.85643124930904
823(02);Różnowo-Osiedle;Różnowo;20.51768095901677,53.85665839933335
824(02);Bukwałd I;Bukwałd;20.367405,53.871397
825(02);Różnowo;Różnowo;20.52725011295659,53.85574813543484
826(02);Barkweda Wieś;Barkweda;20.378834,53.865419
827(02);Słupy;Słupy;20.53404802293056,53.84295988195227
828(02);Słupy-Kościół;Słupy;20.5318639034159,53.83955339689634
829(01);Słupy-Kościół;Słupy;20.53221122189609,53.83990093088887
830(02);Słupy-Osiedle Leśne;Słupy;20.52878580845668,53.83483894250612
831(01);Słupy-Osiedle Leśne;Słupy;20.52895292475869,53.83488877991596
832(02);Myki-Ogrody I;Myki;20.52757590097419,53.82770680129519
833(01);Myki-Ogrody I;Myki;20.52775795337709,53.82822418246605
834(02);Myki-Ogrody II;Myki;20.52694852750322,53.82383640067228
835(01);Myki-Ogrody II;Myki;20.52715010862771,53.82413111556352
836(04);Wadąg;Wadąg;20.52298485977806,53.81747060749235
837(03);Wadąg;Wadąg;20.52327160134769,53.81790937494552
838(01);Klebark Mały-Ogrody;Klebark Mały;20.56426064498644,53.77896594807673
839(02);Klebark Mały-Ogrody;Klebark Mały;20.55887532194623,53.77853355753003
840(01);Wójtowa Rola-Ogrody I;Wójtowa Rola;20.56996667,53.78230833
841(02);Wójtowa Rola-Ogrody I;Wójtowa Rola;20.56892778,53.78212778
842(01);Wójtowa Rola-Ogrody II;Wójtowa Rola;20.58748658953185,53.78652361147045
843(02);Wójtowa Rola-Ogrody II;Wójtowa Rola;20.58509522890554,53.78651623356305
844(01);Wójtowo-Leszczynowa;Wójtowo;20.60181605578703,53.79058985901812
845(02);Wójtowo-Leszczynowa;Wójtowo;20.60174964407876,53.79056370385563
846(02);Brąswałd II przed mostem;Brąswałd;20.400503,53.861204
847(02);Wójtowo;Wójtowo;20.59369214408972,53.78821110073236
848(01);Szczęsne I;Szczęsne;20.55084538120142,53.74463987299395
849(02);Szczęsne I;Szczęsne;20.55030347532145,53.74537807876544
850(01);Szczęsne II;Szczęsne;20.55721229436445,53.74110461502438
851(02);Szczęsne II;Szczęsne;20.55700267334904,53.74190248836328
852(01);Klewki;Klewki;20.57399722237009,53.73494160305146
853(02);Klewki;Klewki;20.57390893334436,53.73522292363992
854(01);Kudypy-Leśne Arboretum;Kudypy;20.38365591554228,53.770660706519
855(02);Kudypy-Leśne Arboretum;Kudypy;20.38513758902015,53.77044158600586
856(01);Osiedle Zacisze;Bartąska;20.47513892539771,53.72453990495003
857(02);Osiedle Zacisze;Bartąska;20.47508232188807,53.72599351197035
858(01);Bartąska-Rondo;Bartąska;20.47286,53.71763
859(02);Bartąska-Rondo;Bartąska;20.47256085049311,53.71790594578749
860(02);Brąswałd Wieś;Brąswałd;20.415137,53.846969
861(02);Brąswałd I ;Brąswałd;20.427640,53.838655
862(02);Dywity Barczewskiego II;Dywity;20.447935,53.837672
863(01);Różnowo Przedszkole;Różnowo;20.509031,53.859440
864(01);Różnowo Przed Lasem;Różnowo;20.517252,53.862623
865(01);Dąbrówka Wielka Leśniczówka;Dąbrówka Wielka;20.520009,53.872930
866(01);Dąbrówka Wielka  Wieś;Dąbrówka Wielka;20.520766,53.886762
867(02);Dąbrówka Wielka  Wieś;Dąbrówka Wielka;20.520766,53.886762
868(02);Dąbrówka Wielka Leśniczówka;Dąbrówka Wielka;20.519908,53.873167
869(02);Różnowo Przed lasem;Różnowo;20.517408,53.862601
870(02);Różnowo Przedszkole;Różnowo;20.508907,53.859365
871(01);Dywity - Barczewskiego ;Dywity;20.472686,53.834164
872(01);Dywity Barczewskiego II;Dywity;20.447608,53.837708
873(01);Brąswałd I;Brąswałd;20.427605,53.838811
874(01);Brąswałd Wieś ;Brąswałd;20.415151,53.847025
875(01);Brąswałd II przed mostem ;Brąswałd;20.400351,53.861495
876(01);Barkweda Wieś ;Barkweda;20.378691,53.865425
877(01);Bukwałd I;Bukwałd;20.367492,53.871465
878(01);Bukwałd Wieś ;Bukwałd;20.358312,53.877090
879(01);Bukwałd szkoła;Bukwałd;20.356367,53.877864
880(02);Podleśna wieś;Podleśna;20.499671,53.949803
881(02);Jesionowo wieś;Jesionowo;20.526870,53.943716
882(02);Gradki kolonia II ;Gradki;20.547510,53.933647
883(02);Gradki wieś;Gradki;20.559799,53.924865
884(02);Gradki kolonia I;Gradki;20.560560,53.916082
885(02);Tuławki szkoła;Tuławki;20.572986,53.901422
886(02);Tuławki boisko ;Tuławki;20.571141,53.896901
887(02);Nowe Włóki kolonia 2;Nowe Włóki;20.547652,53.899722
888(02);Nowe Włóki wieś ;Nowe Włóki;20.526170,53.905063
889(02);Nowe Włóki kolonia 1;Nowe Włóki;20.513300,53.903205
890(02);Sętal wieś ;Sętal;20.476827,53.898997
891(02);Sętal buda;Sętal;20.469261,53.894607
892(02);Sętal kolonia;Sętal;20.463036,53.891727
893(02);Rozgity Wieś;Rozgity;20.479192,53.876732
894(02);Spręcowo szkoła ;Spręcowo;20.439319,53.875147
895(02);Spręcowo wieś ;Spręcowo;20.437690,53.879730
896(02);Spręcowo Klasztor;Spręcowo;20.454026,53.863812
897(02);Ługwałd 61;Ługwałd;20.462173,53.852533
898(02);Ługwałd I ;Ługwałd;20.458262,53.850641
899(02);Ługwałd wieś ;Ługwałd;20.450143,53.847976
900(02);Kanta;Witosa;20.50283941275289,53.73685833678338
901(02);Witosa;Witosa;20.49575052307165,53.73594706631565
902(02);Płoskiego;Witosa;20.49105691941605,53.7343513078355
903(02);Sikorskiego-Wilczyńskiego;Płoskiego;20.48615182131114,53.73944311085799
904(02);Andersa;Sikorskiego;20.48606199238034,53.74336700536595
905(02);Auchan;Sikorskiego;20.48594535110331,53.75133772066095
906(02);Galeria Warmińska;Sikorskiego;20.48596830001006,53.75509291282977
907(02);Dywizjonu 303;Sikorskiego;20.48665082663068,53.76170420401349
908(02);5 Wileńskiej Brygady AK - Sikorskiego;Obiegowa;20.48784624666403,53.76667625040272
909(02);Szpital Wojewódzki;Obiegowa;20.48907446852043,53.77129220385658
910(02);Skwer Wakara;Kościuszki;20.48719733665334,53.77585885668864
911(02);Filharmonia;Kościuszki;20.49072834876348,53.77994467821164
912(02);Kętrzyńskiego;Kościuszki;20.49305488322003,53.78181636937177
913(02);Dworzec Główny;pl. Konstytucji 3 Maja;20.49830831572636,53.78431651711235
914(01);Dworzec Główny;pl. Konstytucji 3 Maja;20.49829031712058,53.78437012597136
915(01);Kętrzyńskiego;Kościuszki;20.49481718756407,53.78303297056121
916(01);Filharmonia;Kościuszki;20.4906736903882,53.77998719976149
917(01);Skwer Wakara;Kościuszki;20.48712939990845,53.7758764776901
918(01);Szpital Wojewódzki;Obiegowa;20.48901550078379,53.7713398981179
919(01);5 Wileńskiej Brygady AK - Sikorskiego;Obiegowa;20.48779409758753,53.76669142984107
920(01);Dywizjonu 303;Sikorskiego;20.48654309359979,53.76170371096984
921(01);Galeria Warmińska;Sikorskiego;20.4859056044194,53.75509654389462
922(01);Auchan;Sikorskiego;20.48584409599962,53.75133694716095
923(01);Andersa;Sikorskiego;20.48597846247481,53.74337179815046
924(01);Sikorskiego-Wilczyńskiego;Płoskiego;20.48603589614883,53.73945019147008
925(01);Płoskiego;Witosa;20.49111298648288,53.73432365755586
926(01);Witosa;Witosa;20.49577296257201,53.73589780269217
927(03);Galeria Warmińska;Tuwima;20.48514133406762,53.75591557176051
928(01);Pozorty;Tuwima;20.47525141769797,53.75483247462661
929(01);Uniwersytet-Pływalnia;Tuwima;20.46702151239324,53.75651948142209
930(02);Uniwersytet-Prawocheńskiego;Tuwima;20.46241912085648,53.75828186966061
931(02);Uniwersytet-Pływalnia;Tuwima;20.46716094590466,53.75648623872257
932(02);Pozorty;Tuwima;20.47534399625109,53.7548050470436
933(04);Galeria Warmińska;Tuwima;20.48514425355743,53.75587203784352
934(01);Centrum;Piłsudskiego;20.48234356438933,53.7779118657004
935(02);Wysoka Brama;11 Listopada;20.47842436539888,53.77808575007421
936(02);Centrum;Piłsudskiego;20.48230210976955,53.77785321271037
937(01);Kanta;Witosa;20.50288197131079,53.73669668681234
